Category,Product,cst_entity,Description
Merchant (MHD),Device,"p4bsoundbox, p4bAIBot, p4bedc","Pertains to queries about Soundbox-related analytics — including session counts, eval scores, transcript analysis, hardware complaint volumes, EDC/Card Machine device issues, agent handover and escalation trends, return/deactivation patterns, rental dispute data, monthly reports, and ticket creation across all Soundbox vertical interactions.
Use cst_entity IN ('p4bsoundbox', 'p4bAIBot', 'p4bedc')"
Merchant (MHD),Business Loan,p4bbusinessloan,"Pertains to queries about lending-related analytics — including session counts, eval scores, transcript analysis, loan application funnel data, EDI/EMI repayment trends, ticket creation volumes for loan closure or rejection queries, and monthly reports on merchant lending support interactions.
Use cst_entity = 'p4bbusinessloan'"
Merchant (MHD),Profile,p4bprofile,"Pertains to queries about profile and KYC-related analytics — including session counts, eval scores, transcript reviews, KYC failure trends, bank account update request volumes, ticket creation data for profile change issues, and monthly reports on merchant account and shop detail support interactions.
Use cst_entity = 'p4bprofile'"
Merchant (MHD),Settlement and Payments,p4bpayoutandsettlement,"Pertains to queries about payment and settlement analytics — including session counts, eval scores, transcript analysis, failed payment trends, QR complaint volumes, settlement delay patterns, MDR/deduction ticket data, and monthly reports on payout and collection-related merchant support interactions.
Use cst_entity = 'p4bpayoutandsettlement'"
Merchant (MHD),Wealth,p4bwealth,"Pertains to queries about Gold and Silver Locker feature analytics — including session counts, eval scores, transcript reviews, investment plan activation/cancellation trends, buy/sell transaction volumes, ticket creation data for wealth feature issues, and monthly reports on merchant engagement with Gold and Silver Locker support interactions.
Use cst_entity = 'p4bwealth'"
Customer (CST),Investments,"gold, pspl","Pertains to queries about Gold and PSPL (Paytm Select Plan/Liquid Fund) analytics — including session counts, eval scores, transcript analysis, buy/sell transaction trends, investment plan activation/cancellation patterns, ticket creation volumes, and monthly reports on merchant Gold and investment-related support interactions.
cst_entity IN ('gold', 'pspl')"
Customer (CST),ONDC,ondc-commerce,"Pertains to queries about ONDC commerce-related analytics — including session counts, eval scores, transcript reviews, order issue trends, delivery/cancellation complaint volumes, ticket creation data, and monthly reports on ONDC buyer support interactions.
cst_entity = 'ondc-commerce'"
Customer (CST),Personal Loan,personalloan,"Pertains to queries about personal loan analytics — including session counts, eval scores, transcript analysis, loan application funnel data, KYC drop-off trends, EMI/repayment volumes, disbursement ticket patterns, and monthly reports on personal loan support interactions.
cst_entity = 'personalloan'"
Customer (CST),Profile,paytm-profile,"Pertains to queries about user profile and account-related analytics — including session counts, eval scores, transcript reviews, login issue trends, mobile/email change request volumes, account closure ticket data, and monthly reports on profile support interactions. cst_entity = 'paytm-profile'"
Customer (CST),Recharge & Utilities,"ccbp, challan, citybus, creditcard, cylinder, digital-subscriptions, dth, electricity, fastag, gas, insurance, landline, loan, metro, mobilepostpaid, mobileprepaid, mortgage, municipal, ru_education, ru_insurance, voucher, water, apartment, cabletv, creditline, datacard, donation, entertainment, gprc, loanagainstmutualfund, paytmdeals, postpaid, recharge, rent, retailinsurance, toll","Pertains to queries about recharge and utility payment analytics — covering entities like mobile prepaid/postpaid, DTH, electricity, FASTag, gas/cylinder, insurance, credit card bill payment, rent, education, loans, credit line, vouchers, and all other bill payment categories. Includes session counts, eval scores, transcript analysis, payment failure trends, refund volumes, ticket creation data, and monthly reports across all recharge and utility support interactions.
cst_entity IN ('ccbp', 'challan', 'citybus', 'creditcard', 'cylinder', 'digital-subscriptions', 'dth', 'electricity', 'fastag', 'gas', 'insurance', 'landline', 'loan', 'metro', 'mobilepostpaid', 'mobileprepaid', 'mortgage', 'municipal', 'ru_education', 'ru_insurance', 'voucher', 'water', 'apartment', 'cabletv', 'creditline', 'datacard', 'donation', 'entertainment', 'gprc', 'loanagainstmutualfund', 'paytmdeals', 'postpaid', 'recharge', 'rent', 'retailinsurance', 'toll')"
Customer (CST),Travel,"bus, flight, train","Pertains to queries about travel booking analytics — including session counts, eval scores, transcript analysis, bus/flight/train booking and cancellation trends, refund volumes, ticket creation data, and monthly reports on travel support interactions across all three modes.
cst_entity IN ('bus', 'flight', 'train')"
Customer (CST),UPI,upi-ocl,"Pertains to queries about UPI and OCL (One Credit Line) analytics — including session counts, eval scores, transcript reviews, UPI transaction failure trends, PIN change volumes, bank account linking issues, cashback-related ticket data, and monthly reports on UPI support interactions.
cst_entity = 'upi-ocl'"